"ID","ItemType","Model"
"Ex_Vivec_wspout_d_02","Static","x\Ex_Vivec_wspout_d_02.NIF"
"ex_wg_cave_entrance_01","Static","x\Ex_WG_cave_entrance_01.NIF"
"flora_ash_grass_b_01","Static","f\Flora_Ash_Grass_B_01.NIF"
"Flora_Ash_Grass_R_01","Static","f\Flora_Ash_Grass_R_01.NIF"
"flora_ash_grass_w_01","Static","f\Flora_Ash_Grass_W_01.NIF"
"flora_ash_log_01","Static","x\Flora_ash_log_01.nif"
"flora_ash_log_02","Static","x\Flora_ash_log_02.nif"
"flora_ash_log_03","Static","x\Flora_ash_log_03.nif"
"flora_ash_log_04","Static","x\Flora_ash_log_04.nif"
"Flora_ashtree_01","Static","x\Flora_ashtree_01.NIF"
"flora_ashtree_02","Static","x\Flora_ashtree_02.NIF"
"flora_ashtree_03","Static","x\Flora_ashtree_03.NIF"
"flora_ashtree_04","Static","x\Flora_ashtree_04.NIF"
"flora_ashtree_05","Static","x\Flora_ashtree_05.nif"
"flora_ashtree_06","Static","x\Flora_ashtree_06.nif"
"flora_ashtree_07","Static","x\Flora_ashtree_07.nif"
"flora_bc_fern_02","Static","f\Flora_BC_Fern_02.NIF"
"flora_bc_fern_03","Static","f\Flora_BC_Fern_03.NIF"
"flora_bc_fern_04","Static","f\Flora_BC_Fern_04.NIF"
"flora_bc_grass_01","Static","f\Flora_BC_Grass_01.NIF"
"flora_bc_grass_02","Static","f\Flora_BC_Grass_02.NIF"
"flora_bc_knee_01","Static","f\Flora_BC_Knee_01.NIF"
"flora_bc_knee_02","Static","f\Flora_BC_Knee_02.NIF"
"flora_bc_knee_03","Static","f\Flora_BC_Knee_03.NIF"
"flora_bc_knee_04","Static","f\Flora_BC_Knee_04.NIF"
"Flora_BC_Lilypad","Static","f\Flora_BC_Lilypad_01.NIF"
"flora_bc_lilypad_02","Static","f\Flora_BC_Lilypad_02.NIF"
"flora_bc_lilypad_03","Static","f\Flora_BC_Lilypad_03.NIF"
"flora_bc_log_01","Static","f\Flora_BC_log_01.NIF"
"flora_bc_log_02","Static","f\Flora_BC_log_02.NIF"
"flora_bc_moss_01","Static","f\Flora_BC_Moss_01.NIF"
"flora_bc_moss_02","Static","f\Flora_BC_Moss_02.NIF"
"flora_bc_moss_03","Static","f\Flora_BC_Moss_03.NIF"
"flora_bc_moss_04","Static","f\Flora_BC_Moss_04.NIF"
"flora_bc_moss_05","Static","f\Flora_BC_Moss_05.NIF"
"flora_bc_moss_06","Static","f\Flora_BC_Moss_06.NIF"
"flora_bc_moss_07","Static","f\Flora_BC_Moss_07.NIF"
"flora_bc_moss_08","Static","f\Flora_BC_Moss_08.NIF"
"flora_bc_moss_09","Static","f\Flora_BC_Moss_09.NIF"
"flora_bc_moss_10","Static","f\Flora_BC_Moss_10.NIF"
"flora_bc_moss_11","Static","f\Flora_BC_Moss_11.NIF"
"flora_bc_moss_12","Static","f\Flora_BC_Moss_12.NIF"
"flora_bc_moss_13","Static","f\Flora_BC_Moss_13.NIF"
"flora_bc_moss_14","Static","f\Flora_BC_Moss_14.NIF"
"flora_bc_moss_15","Static","f\Flora_BC_Moss_15.NIF"
"flora_bc_moss_16","Static","f\Flora_BC_Moss_16.NIF"
"flora_bc_moss_17","Static","f\Flora_BC_Moss_17.NIF"
"flora_bc_moss_18","Static","f\Flora_BC_Moss_18.NIF"
"flora_bc_moss_19","Static","f\Flora_BC_Moss_19.NIF"
"flora_bc_moss_20","Static","f\Flora_BC_Moss_20.NIF"
"flora_bc_moss_21","Static","f\Flora_BC_Moss_21.NIF"
"flora_bc_tree_01","Static","f\Flora_BC_Tree_01.NIF"
"flora_bc_tree_02","Static","f\Flora_BC_Tree_02.NIF"
"flora_bc_tree_03","Static","f\Flora_BC_Tree_03.NIF"
"flora_bc_tree_04","Static","f\Flora_BC_Tree_04.NIF"
"flora_bc_tree_05","Static","f\Flora_BC_Tree_05.NIF"
"flora_bc_tree_06","Static","f\Flora_BC_Tree_06.NIF"
"flora_bc_tree_07","Static","f\Flora_BC_Tree_07.NIF"
"flora_bc_tree_08","Static","f\Flora_BC_Tree_08.NIF"
"flora_bc_tree_09","Static","f\Flora_BC_Tree_09.NIF"
"flora_bc_tree_10","Static","f\Flora_BC_Tree_10.NIF"
"flora_bc_tree_11","Static","f\Flora_BC_Tree_11.NIF"
"flora_bc_tree_12","Static","f\Flora_BC_Tree_12.NIF"
"flora_bc_tree_13","Static","f\Flora_BC_Tree_13.NIF"
"flora_bc_vine_01","Static","f\Flora_BC_Vine_01.NIF"
"flora_bc_vine_02","Static","f\Flora_BC_Vine_02.NIF"
"flora_bc_vine_03","Static","f\Flora_BC_Vine_03.NIF"
"flora_bc_vine_04","Static","f\Flora_BC_Vine_04.NIF"
"flora_bc_vine_05","Static","f\Flora_BC_Vine_05.NIF"
"flora_bc_vine_06","Static","f\Flora_BC_Vine_06.NIF"
"flora_bc_vine_07","Static","f\Flora_BC_Vine_07.NIF"
"Flora_BM_grass_01","Static","f\Flora_BM_grass_01.nif"
"Flora_BM_grass_02","Static","f\Flora_BM_grass_02.nif"
"Flora_BM_grass_03","Static","f\Flora_BM_grass_03.nif"
"Flora_BM_grass_04","Static","f\Flora_BM_grass_04.nif"
"Flora_BM_grass_05","Static","f\Flora_BM_grass_05.nif"
"Flora_BM_grass_06","Static","f\Flora_BM_grass_06.nif"
"Flora_BM_holly_06a","Static","o\Flora_BM_holly_06.nif"
"Flora_BM_log_01","Static","f\Flora_BM_log_01.nif"
"Flora_BM_log_02","Static","f\Flora_BM_log_02.nif"
"Flora_BM_log_03","Static","f\Flora_BM_log_03.nif"
"Flora_BM_log_04","Static","f\Flora_BM_log_04.nif"
"Flora_BM_log_05","Static","f\Flora_BM_log_05.nif"
"Flora_BM_shrub_01","Static","f\Flora_BM_shrub_01.nif"
"Flora_BM_shrub_02","Static","f\Flora_BM_shrub_02.nif"
"Flora_BM_shrub_03","Static","f\Flora_BM_shrub_03.nif"
"Flora_BM_snow_log_01","Static","f\Flora_BM_snow_log_01.nif"
"Flora_BM_snow_log_02","Static","f\Flora_BM_snow_log_02.nif"
"Flora_BM_snow_log_03","Static","f\Flora_BM_snow_log_03.nif"
"Flora_BM_snow_log_04","Static","f\Flora_BM_snow_log_04.nif"
"Flora_BM_snow_log_05","Static","f\Flora_BM_snow_log_05.nif"
"Flora_BM_snowbranch_01","Static","f\Flora_BM_snowbranch_01.nif"
"Flora_BM_snowbranch_02","Static","f\Flora_BM_snowbranch_02.nif"
"Flora_BM_snowbranch_03","Static","f\Flora_BM_snowbranch_03.nif"
"Flora_BM_snowstump_01","Static","f\Flora_BM_snowstump_01.nif"
"Flora_BM_snowstump_02","Static","f\Flora_BM_snowstump_02.nif"
"Flora_BM_snowstump_03","Static","f\Flora_BM_snowstump_03.nif"
"Flora_BM_snowstump_04","Static","f\Flora_BM_snowstump_04.nif"
"Flora_BM_snowstump_05","Static","f\Flora_BM_snowstump_05.nif"
"Flora_BM_snowstump_06","Static","f\Flora_BM_snowstump_06.nif"
"Flora_BM_treebranch_01","Static","f\Flora_BM_treebranch_01.NIF"
"Flora_BM_treebranch_02","Static","f\Flora_BM_treebranch_02.NIF"
"Flora_BM_treebranch_03","Static","f\Flora_BM_treebranch_03.NIF"
"Flora_BM_treestump_01","Static","f\Flora_BM_treestump_01.NIF"
"Flora_BM_treestump_02","Static","f\Flora_BM_treestump_02.NIF"
"Flora_BM_treestump_03","Static","f\Flora_BM_treestump_03.NIF"
"Flora_BM_treestump_04","Static","f\Flora_BM_treestump_04.NIF"
"Flora_BM_treestump_05","Static","f\Flora_BM_treestump_05.NIF"
"Flora_BM_treestump_06","Static","f\Flora_BM_treestump_06.NIF"
"flora_bush_01","Static","f\Flora_bush_01.NIF"
"flora_emp_parasol_01","Static","f\Flora_emp_parasol_01.NIF"
"flora_emp_parasol_02","Static","f\Flora_emp_parasol_02.NIF"
"Flora_emp_parasol_03","Static","f\Flora_emp_parasol_03.NIF"
"flora_grass_01","Static","f\Flora_grass_01.nif"
"flora_grass_02","Static","f\Flora_grass_02.NIF"
"flora_grass_03","Static","f\Flora_grass_03.NIF"
"flora_grass_04","Static","f\Flora_grass_04.NIF"
"Flora_grass_05","Static","f\Flora_grass_05.nif"
"Flora_grass_06","Static","f\Flora_grass_06.nif"
"Flora_grass_07","Static","f\Flora_grass_07.nif"
"flora_ivy_01","Static","f\Flora_ivy_01.NIF"
"flora_ivy_02","Static","f\Flora_ivy_02.NIF"
"Flora_kelp_01","Static","f\Flora_kelp_01.nif"
"Flora_kelp_02","Static","f\Flora_kelp_02.nif"
"Flora_kelp_03","Static","f\Flora_kelp_03.nif"
"Flora_kelp_04","Static","f\Flora_kelp_04.nif"
"flora_muckpod_01","Static","f\Flora_muckpod_01.NIF"
"flora_muckpod_02","Static","f\Flora_muckpod_02.NIF"
"flora_muckpod_03","Static","f\Flora_muckpod_03.NIF"
"flora_muckpod_04","Static","f\Flora_muckpod_04.NIF"
"flora_muckpod_05","Static","f\Flora_muckpod_05.NIF"
"flora_root_wg_01","Static","f\Flora_root_WG_01.NIF"
"flora_root_wg_02","Static","f\Flora_root_WG_02.NIF"
"flora_root_wg_03","Static","f\Flora_root_WG_03.NIF"
"flora_root_wg_04","Static","f\Flora_root_WG_04.NIF"
"flora_root_wg_05","Static","f\Flora_root_WG_05.NIF"
"flora_root_wg_06","Static","f\Flora_root_WG_06.NIF"
"flora_root_wg_07","Static","f\Flora_root_WG_07.NIF"
"flora_root_wg_08","Static","f\Flora_root_WG_08.NIF"
"flora_t_mushroom_01","Static","x\Flora_T_mushroom_01.nif"
"flora_t_mushroom_02","Static","x\Flora_T_mushroom_02.nif"
"flora_t_podbud_01","Static","x\Flora_T_podbud_01.nif"
"flora_t_podbud_02","Static","x\Flora_T_podbud_02.nif"
"flora_t_podbud_03","Static","x\Flora_T_podbud_03.nif"
"flora_t_podbud_04","Static","x\Flora_T_podbud_04.nif"
"flora_t_shelffungus_01","Static","x\Flora_T_shelffungus_01.nif"
"flora_trama_shrub_01","Static","f\Flora_Trama_Shrub_01.nif"
"flora_trama_shrub_02","Static","f\Flora_Trama_Shrub_02.nif"
"flora_trama_shrub_03","Static","f\Flora_Trama_Shrub_03.nif"
"flora_trama_shrub_04","Static","f\Flora_Trama_Shrub_04.nif"
"flora_trama_shrub_05","Static","f\Flora_Trama_Shrub_05.nif"
"flora_trama_shrub_06","Static","f\Flora_Trama_Shrub_06.nif"
"flora_tree_ac_01","Static","f\Flora_tree_AC_01.nif"
"flora_tree_ac_02","Static","f\Flora_tree_AC_02.nif"
"flora_tree_ac_03","Static","f\Flora_tree_AC_03.nif"
"Flora_tree_AC_04","Static","f\Flora_tree_AC_04.nif"
"flora_tree_ai_01","Static","f\Flora_tree_01.NIF"
"flora_tree_ai_02","Static","f\Flora_tree_02.NIF"
"flora_tree_ai_03","Static","f\Flora_tree_03.NIF"
"flora_tree_ai_04","Static","f\Flora_tree_04.NIF"
"flora_tree_ai_05","Static","f\Flora_tree_AI_05.NIF"
"flora_tree_ai_06","Static","f\Flora_tree_AI_06.NIF"
"Flora_tree_BM_01","Static","f\Flora_tree_BM_01.nif"
"Flora_tree_BM_02","Static","f\Flora_tree_BM_02.nif"
"Flora_tree_BM_03","Static","f\Flora_tree_BM_03.nif"
"Flora_tree_BM_04","Static","f\Flora_tree_BM_04.nif"
"Flora_tree_BM_05","Static","f\Flora_tree_BM_05.nif"
"Flora_tree_BM_06","Static","f\Flora_tree_BM_06.nif"
"Flora_tree_BM_07","Static","f\Flora_tree_BM_07.nif"
"Flora_tree_BM_snow_01","Static","f\Flora_tree_BM_snow_01.nif"
"Flora_tree_BM_snow_02","Static","f\Flora_tree_BM_snow_02.nif"
"Flora_tree_BM_snow_03","Static","f\Flora_tree_BM_snow_03.nif"
"Flora_tree_BM_snow_04","Static","f\Flora_tree_BM_snow_04.nif"
"Flora_tree_BM_snow_05","Static","f\Flora_tree_BM_snow_05.nif"
"Flora_tree_BM_snow_06","Static","f\Flora_tree_BM_snow_06.nif"
"Flora_tree_BM_snow_07","Static","f\Flora_tree_BM_snow_07.nif"
"flora_tree_gl_01","Static","f\Flora_tree_GL_01.NIF"
"flora_tree_gl_02","Static","f\Flora_tree_GL_02.nif"
"flora_tree_gl_03","Static","f\Flora_tree_GL_03.nif"
"flora_tree_gl_04","Static","f\Flora_tree_GL_04.nif"
"flora_tree_gl_05","Static","f\Flora_tree_GL_05.nif"
"flora_tree_gl_06","Static","f\Flora_tree_GL_06.nif"
"flora_tree_gl_07","Static","f\Flora_tree_GL_07.nif"
"flora_tree_gl_08","Static","f\Flora_tree_GL_08.nif"
"flora_tree_gl_09","Static","f\Flora_tree_GL_09.nif"
"flora_tree_gl_10","Static","f\Flora_tree_GL_10.nif"
"flora_tree_gl_11","Static","f\Flora_tree_GL_11.nif"
"Flora_tree_MH_01","Static","f\Flora_tree_MH_01.nif"
"Flora_tree_MH_02","Static","f\Flora_tree_MH_02.nif"
"flora_tree_wg_01","Static","f\Flora_tree_WG_01.NIF"
"flora_tree_wg_02","Static","f\Flora_tree_WG_02.NIF"
"flora_tree_wg_03","Static","f\Flora_tree_WG_03.NIF"
"flora_tree_wg_04","Static","f\Flora_tree_WG_04.NIF"
"flora_tree_wg_05","Static","f\Flora_tree_WG_05.NIF"
"flora_tree_wg_06","Static","f\Flora_tree_WG_06.NIF"
"flora_tree_wg_07","Static","f\Flora_tree_WG_07.NIF"
"flora_tree_wg_08","Static","f\Flora_tree_WG_08.NIF"
"Flora_treedead_MH_01","Static","f\Flora_treedead_MH_01.nif"
"flora_treedead_MH_02","Static","f\flora_treedead_MH_02.NIF"
"flora_treestump_wg_01","Static","f\Flora_treestump_WG_01.NIF"
"flora_treestump_wg_02","Static","f\Flora_treestump_WG_02.NIF"
"furn_6th_ashaltar","Static","f\Furn_6th_Ashaltar.NIF"
"furn_6th_ashpillar","Static","f\Furn_6th_Ashpillar.NIF"
"furn_6th_ashstatue","Static","f\Furn_6th_Ashstatue.NIF"
"furn_6th_banner","Static","f\Furn_6th_Banner.NIF"
"furn_6th_bells","Static","f\Furn_6th_Bells.NIF"
"furn_6th_corprus_plate_01","Static","f\Furn_6th_Corpus_Plate_01.NIF"
"furn_6th_corpus_plate_01","Static","f\Furn_6th_Corpus_Plate_01.NIF"
"furn_6th_dagothsymbol","Static","f\Furn_6th_Dagothsymbol.NIF"
"furn_6th_platform","Static","f\Furn_6th_Platform.NIF"
"furn_6th_tallbanner","Static","f\Furn_6th_Tallbanner.NIF"
"furn_6th_troth_01","Static","f\Furn_6th_Troth_01.NIF"
"furn_6th_troth_02","Static","f\Furn_6th_Troth_02.NIF"
"furn_anvil00","Static","f\furn_anvil00.nif"
"furn_ashl_bugbowl","Static","f\Furn_Ashl_Bugbowl.NIF"
"furn_ashl_bugbowl_01","Static","f\Furn_Ashl_Bugbowl_01.NIF"
"furn_ashl_bugbowl_02","Static","f\Furn_Ashl_Bugbowl_02.NIF"
"furn_ashl_bugbowl_03","Static","f\Furn_Ashl_Bugbowl_03.NIF"
"furn_ashl_chimes_01","Static","f\Furn_Ashl_Chimes_01.NIF"
"Furn_banner_hanger_01","Static","f\Furn_banner_hanger_01.nif"
"Furn_banner_helseth_01","Static","f\Furn_banner_helseth_01.NIF"
"Furn_banner_helseth_02","Static","f\Furn_banner_helseth_02.NIF"
"Furn_banner_imp_01","Static","f\Furn_banner_imp_01.NIF"
"Furn_banner_stage_01","Static","f\Furn_banner_stage_01.NIF"
"furn_banner_temple_01_indoors","Static","f\Furn_banner_temple_01_in.nif"
"furn_banner_temple_02_indoors","Static","f\Furn_banner_temple_02_in.nif"
"furn_banner_temple_03_indoors","Static","f\Furn_banner_temple_03_in.nif"
"Furn_BM_T_torchstand","Static","f\Furn_BM_T_torchstand.NIF"
"furn_bone_01","Static","f\Furn_bone_01.NIF"
"furn_bone_rib_01","Static","f\Furn_bone_rib_01.NIF"
"furn_bone_skull_01","Static","f\Furn_bone_skull_01.NIF"
"furn_bone_stake00","Static","f\furn_bone_stake00.NIF"
"furn_burial00","Static","f\furn_burial00.nif"
"furn_burial10","Static","f\furn_burial10.nif"
"furn_burial20","Static","f\furn_burial20.nif"
"furn_c_t_akatosh_01","Static","f\Furn_C_T_Akatosh_01.NIF"
"furn_c_t_apprentice_01","Static","f\Furn_C_T_Apprentice_01.NIF"
"furn_c_t_arkay_01","Static","f\Furn_C_T_Arkay_01.NIF"
"furn_c_t_dibella_01","Static","f\Furn_C_T_Dibella_01.NIF"
"furn_c_t_golem_01","Static","f\Furn_C_T_Golem_01.NIF"
"furn_c_t_julianos_01","Static","f\Furn_C_T_julianos_01.NIF"
"furn_c_t_kynareth_01","Static","f\Furn_C_T_Kynareth_01.NIF"
"furn_c_t_lady_01","Static","f\Furn_C_T_Lady_01.NIF"
"furn_c_t_lord_01","Static","f\Furn_C_T_Lord_01.NIF"
"furn_c_t_lover_01","Static","f\Furn_C_T_Lover_01.NIF"
"furn_c_t_mara_01","Static","f\Furn_C_T_Mara_01.NIF"
"furn_c_t_ritual_01","Static","f\Furn_C_T_Ritual_01.NIF"
"furn_c_t_shadow_01","Static","f\Furn_C_T_Shadow_01.NIF"
"furn_c_t_steed_01","Static","f\Furn_C_T_Steed_01.NIF"
"furn_c_t_stendarr_01","Static","f\Furn_C_T_Stendarr_01.NIF"
"furn_c_t_theif_01","Static","f\Furn_C_T_Theif_01.NIF"
"furn_c_t_tower_01","Static","f\Furn_C_T_Tower_01.NIF"
"furn_c_t_warrior_01","Static","f\Furn_C_T_Warrior_01.NIF"
"furn_c_t_wizard_01","Static","f\Furn_C_T_Wizard_01.NIF"
"furn_c_t_zenithar_01","Static","f\Furn_C_T_Zenithar_01.NIF"
"furn_cart00","Static","f\furn_cart00.nif"
"furn_chieftains_chair","Static","f\Furn_chieftains_chair.NIF"
"Furn_CliffRacer","Static","f\Furn_CliffRacer.NIF"
"furn_coalpile00","Static","f\furn_coalpile00.nif"
"furn_coals_hot","Static","f\Furn_S_coals_hot.NIF"
"Furn_colony_hook01","Static","f\Furn_colony_hook01.NIF"
"Furn_colony_ladder01","Static","f\Furn_colony_ladder01.NIF"
"Furn_colony_oven01","Static","f\Furn_colony_oven01.NIF"
"Furn_colony_R_shelf01","Static","f\Furn_colony_R_shelf01.NIF"
"Furn_colony_R_shelf02","Static","f\Furn_colony_R_shelf02.NIF"
"Furn_colony_R_shelf03","Static","f\Furn_colony_R_shelf03.NIF"
"Furn_colony_R_shelf04","Static","f\Furn_colony_R_shelf04.NIF"
"Furn_colony_robe01","Static","f\Furn_colony_robe01.NIF"
"Furn_colony_shelf01","Static","f\Furn_colony_shelf01.NIF"
"Furn_colony_shelf02","Static","f\Furn_colony_shelf02.NIF"
"Furn_colony_shelf03","Static","f\Furn_colony_shelf03.NIF"
"Furn_colony_shelf04","Static","f\Furn_colony_shelf04.NIF"
"Furn_colony_shelf05","Static","f\Furn_colony_shelf05.NIF"
"Furn_colony_shelf06","Static","f\Furn_colony_shelf06.NIF"
"Furn_colony_shelf07","Static","f\Furn_colony_shelf07.NIF"
"Furn_colony_stonetable01","Static","f\Furn_colony_stonetable01.NIF"
"Furn_colony_stonetable02","Static","f\Furn_colony_stonetable02.NIF"
"Furn_colony_win01","Static","f\Furn_colony_win01.NIF"
"Furn_colony_wolfrug01","Static","f\Furn_colony_wolfrug01.NIF"
"furn_com_cauldron_01","Static","f\Furn_Com_Cauldron_01.NIF"
"furn_com_cauldron_02","Static","f\Furn_Com_Cauldron_02.NIF"
"furn_com_cauldron_unique","Static","f\Furn_Com_Cauldron_02.NIF"
"furn_com_coatofarms_01","Static","f\Furn_Com_Coatofarms_01.NIF"
"Furn_Com_Coatofarms_02","Static","f\Furn_Com_Coatofarms_02.NIF"
"furn_com_fence_01","Static","x\Furn_com_fence_01.NIF"
"furn_com_fence_02","Static","x\Furn_com_fence_02.NIF"
"furn_com_fence_03","Static","x\Furn_com_fence_03.NIF"
"Furn_Com_Kegstand","Static","f\Furn_Com_Kegstand.NIF"
"furn_com_lantern_hook","Static","f\Furn_Com_Lantern_Hook.NIF"
"furn_com_lantern_hook_02","Static","f\Furn_Com_Lantern_Hook_02.NIF"
"furn_com_p_bench_01","Static","f\Furn_Com_Bench_01.NIF"
"furn_com_p_shelf_03","Static","f\Furn_Com_Shelf_03.NIF"
"furn_com_p_shelf_04","Static","f\Furn_Com_Shelf_04.NIF"
"furn_com_p_table_01","Static","f\Furn_Com_Table_02.NIF"
"Furn_Com_Planter","Static","f\Furn_Com_Planter.NIF"
"furn_com_pm_chair_02","Static","f\Furn_Com_Chair_02.NIF"
"furn_com_pm_stool_02","Static","f\Furn_Com_Stool_02.NIF"
"furn_com_r_bookshelf_01","Static","f\Furn_Com_Bookshelf_01.NIF"
"furn_com_r_bookshelf_01_telvos","Static","f\Furn_Com_Bookshelf_01.NIF"
"furn_com_r_chair_01","Static","f\Furn_Com_Chair_01.NIF"
"furn_com_r_table_01","Static","f\Furn_Com_Table_01.NIF"
"Furn_Com_RM_Bar_01","Static","f\Furn_Com_Bar_01.NIF"
"Furn_Com_RM_Bar_02","Static","f\Furn_Com_Bar_02.NIF"
"Furn_Com_RM_Bar_03","Static","f\Furn_Com_Bar_03.NIF"
"Furn_Com_RM_Bar_04","Static","f\Furn_Com_Bar_04.NIF"
"Furn_Com_RM_Bar_05","Static","f\Furn_Com_Bar_05.NIF"
"Furn_Com_RM_Bar_06","Static","f\furn_com_bar_06.nif"
"furn_com_rm_barstool","Static","f\Furn_Com_Barstool.NIF"
"furn_com_rm_bench_02","Static","f\Furn_Com_Bench_02.NIF"
"furn_com_rm_bookshelf_02","Static","f\Furn_Com_Bookshelf_02.NIF"
"furn_com_rm_bookshelf_02_huleen","Static","f\Furn_Com_Bookshelf_02.NIF"
"furn_com_rm_chair_03","Static","f\Furn_Com_Chair_03.NIF"
"furn_com_rm_shelf_01","Static","f\Furn_Com_Shelf_01.NIF"
"furn_com_rm_shelf_02","Static","f\Furn_Com_Shelf_02.NIF"
"furn_com_rm_stool_01","Static","f\Furn_Com_Stool_01.NIF"
"furn_com_rm_table_03","Static","f\Furn_Com_Table_03.NIF"
"furn_com_rm_table_04","Static","f\Furn_Com_Table_04.NIF"
"furn_com_rm_table_05","Static","f\Furn_Com_Table_05.NIF"
"furn_com_rm_winerack","Static","f\Furn_Com_Winerack.NIF"
"furn_com_table_colony","Static","f\Furn_Com_Table_02.NIF"
"furn_com_tapestry_01","Static","f\Furn_Com_Tapestry_01.NIF"
"furn_com_tapestry_02","Static","f\Furn_Com_Tapestry_02.NIF"
"furn_com_tapestry_03","Static","f\Furn_Com_Tapestry_03.NIF"
"furn_com_tapestry_04","Static","f\Furn_Com_Tapestry_04.NIF"
"furn_com_tapestry_05","Static","f\Furn_Com_Tapestry_05.NIF"
"furn_com_torch_ring_01","Static","f\Furn_Com_Torch_Ring_01.NIF"
"furn_com_torch_ring_02","Static","f\Furn_Com_Torch_Ring_02.NIF"
"furn_crate_lid_01","Static","f\Furn_crate_lid_01.NIF"
"furn_crate_open_01","Static","f\Furn_crate_open_01.NIF"
"furn_de_ashl_post","Static","f\Furn_De_Ashl_Post.NIF"
"furn_de_banner_01","Static","f\Furn_banner_01.NIF"
"furn_de_bannerpost_01","Static","f\Furn_bannerpost_01.NIF"
"furn_de_bannerpost_02","Static","f\Furn_bannerpost_02.NIF"
"furn_de_basket_01","Static","f\Furn_basket_01.NIF"
"Furn_De_Bed_28","Static","f\Active_De_Bed_28.NIF"
"furn_de_bellows_01","Static","f\Furn_DE_bellows_01.nif"
"furn_de_cushion_round_01","Static","f\Furn_cushion_round_01.NIF"
"furn_de_cushion_round_02","Static","f\Furn_cushion_round_02.NIF"
"furn_de_cushion_round_03","Static","f\furn_cushion_round_03.nif"
"furn_de_cushion_round_04","Static","f\furn_cushion_round_04.nif"
"furn_de_cushion_round_05","Static","f\furn_cushion_round_05.nif"
"furn_de_cushion_round_06","Static","f\furn_cushion_round_06.nif"
"furn_de_cushion_round_07","Static","f\furn_cushion_round_07.nif"
"furn_de_cushion_square_01","Static","f\Furn_cushion_square_01.NIF"
"furn_de_cushion_square_02","Static","f\Furn_cushion_square_02.NIF"
"furn_de_cushion_square_03","Static","f\Furn_cushion_square_03.NIF"
"furn_de_cushion_square_04","Static","f\Furn_cushion_square_04.NIF"
"furn_de_cushion_square_05","Static","f\Furn_cushion_square_05.NIF"
"furn_de_cushion_square_06","Static","f\Furn_cushion_square_06.NIF"
"furn_de_cushion_square_07","Static","f\furn_cushion_square_07.nif"
"furn_de_cushion_square_08","Static","f\furn_cushion_square_08.nif"
"furn_de_cushion_square_09","Static","f\furn_cushion_square_09.nif"
"furn_de_ex_bench_01","Static","f\Furn_De_Ex_Bench_01.NIF"
"furn_de_ex_stool_01","Static","f\Furn_stool_01.NIF"
"furn_de_ex_stool_02","Static","f\Furn_De_Ex_Stool_02.NIF"
"furn_de_ex_table_01","Static","f\Furn_table_01.NIF"
"furn_de_ex_table_02","Static","f\Furn_De_Ex_Table_02.NIF"
"furn_de_ex_table_03","Static","f\Furn_De_Ex_Table_03.NIF"
"furn_de_firepit","Static","f\Furn_De_Firepit.NIF"
"Furn_De_Firepit_01","Static","f\Furn_De_Firepit_01.NIF"
"furn_de_forge_01","Static","f\Furn_DE_forge_01.nif"
"Furn_De_Kegstand","Static","f\Furn_De_Kegstand.NIF"
"furn_de_lecturn","Static","f\Furn_De_Lecturn.NIF"
"furn_de_lightpost_01","Static","x\Furn_DE_lightpost_01.NIF"
"furn_de_loom_01","Static","f\Furn_de_loom_01.NIF"
"furn_de_minercave_grill_01","Static","f\Furn_grill_01.NIF"
"furn_de_overhang_01","Static","f\Furn_overhang_01.NIF"
"furn_de_overhang_02","Static","f\Furn_overhang_02.NIF"
"furn_de_overhang_03","Static","f\Furn_overhang_03.NIF"
"furn_de_overhang_04","Static","f\Furn_overhang_04.NIF"
"furn_de_overhang_05","Static","f\Furn_overhang_05.NIF"
"furn_de_overhang_06","Static","f\Furn_overhang_06.NIF"
"furn_de_overhang_07","Static","f\Furn_overhang_07.NIF"
"furn_de_overhang_09","Static","f\Furn_overhang_09.NIF"
"furn_de_overhang_18","Static","f\Furn_overhang_18.NIF"
"furn_de_p_bench_03","Static","f\Furn_De_Bench_03.NIF"
"furn_de_p_bench_04","Static","f\Furn_De_Bench_04.NIF"
"furn_de_p_bookshelf_01","Static","f\Furn_De_Bookshelf_01.NIF"
"furn_de_p_chair_01","Static","f\Furn_De_Chair_01.NIF"
"furn_de_p_chair_02","Static","f\Furn_De_Chair_02.NIF"
"furn_de_p_chair_02_UNI1","Static","f\Furn_De_Chair_02.NIF"
"furn_de_p_chair_02_UNI2","Static","f\Furn_De_Chair_02.NIF"
"furn_de_p_shelf_02","Static","f\Furn_De_Shelf_02.NIF"
"furn_de_p_stool_01","Static","f\Furn_De_Stool_01.NIF"
"furn_de_p_stool_02","Static","f\Furn_De_Stool_02.NIF"
"furn_de_p_table_01","Static","f\Furn_De_Table_01.NIF"
"furn_de_p_table_02","Static","f\Furn_De_Table_02.NIF"
"furn_de_p_table_04","Static","f\Furn_De_Table_04.NIF"
"furn_de_p_table_05","Static","f\Furn_De_Table_05.NIF"
"furn_de_p_table_06","Static","f\Furn_De_Table_06.NIF"
"furn_de_pathspear_01","Static","f\Furn_pathspear_01.NIF"
"furn_de_pathspear_02","Static","f\Furn_pathspear_02.NIF"
"furn_de_pathspear_03","Static","f\Furn_pathspear_03.NIF"
"furn_de_pathspear_04","Static","f\Furn_pathspear_04.NIF"
"furn_de_pathspear_04_uni1","Static","f\Furn_pathspear_04.NIF"
"furn_de_pathspear_04_uni2","Static","f\Furn_pathspear_04.NIF"
