"ID","ItemType","Name","Script","Level","Race","Female","Class","Faction","Rank","Autocalc","Respawn","Animation","Disposition","Blood","Hair","Head","Persist","Blocked","Strength","Agility","Speed","Endurance","Personality","Intelligence","Willpower","Luck","Gold","Health","SpellPts","Magic"
"baissa","NPC","Baissa","","6","Khajiit","Yes","Trader Service","","0","No","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair03","b_n_khajiit_f_head_02","No","Yes","48","60","47","43","61","48","38","40","100","70","189","96"
"bakh gro-sham","NPC","Bakh gro-Sham","bakhScript","35","Orc","No","Agent","","0","Yes","No","","50","Default (Red)","b_n_orc_m_hair_01","b_n_orc_m_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"baladas demnevanni","NPC","Baladas Demnevanni","BILL_MT_WritBaladas","35","Dark Elf","No","Sorcerer","Telvanni","6","No","No","","50","Default (Red)","b_n_dark elf_m_hair_14","b_n_dark elf_m_head_03","No","Yes","74","77","87","91","61","100","100","40","0","391","342","200"
"balan","NPC","Balan","","7","Redguard","Yes","Scout","Thieves Guild","1","No","No","","50","Default (Red)","b_n_redguard_f_hair_05","b_n_redguard_f_head_04","No","Yes","51","58","61","68","44","37","37","40","0","95","214","74"
"balen andrano","NPC","Balen Andrano","nolore","10","Dark Elf","No","Trader Service","Redoran","1","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_11","b_n_dark elf_m_head_01","No","No","0","0","0","0","0","0","0","0","600","0","0","0"
"balen sedrethi","NPC","Balen Sedrethi","","17","Dark Elf","No","Enforcer","Hlaalu","5","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_10","b_n_dark elf_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"balen vendu","NPC","Balen Vendu","","7","Dark Elf","Yes","Monk Service","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_18","b_n_dark elf_f_head_04","No","Yes","53","65","69","34","44","45","47","40","0","67","199","90"
"baleni salavel","NPC","Baleni Salavel","","4","Dark Elf","Yes","Shipmaster","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_11","b_n_dark elf_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Balfring","NPC","Balfring","ColonyNordAttack","30","Nord","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair03","b_n_nord_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"balis favani","NPC","Balis Favani","","13","Dark Elf","No","Spellsword","Telvanni","3","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_05","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Balis Sari","NPC","Balis Sari","","6","Dark Elf","No","Agent","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_12","b_n_dark elf_m_head_10","No","Yes","49","64","60","43","50","46","34","40","0","66","190","92"
"balsa girith","NPC","Balsa Girith","","15","Dark Elf","Yes","Thief","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_23","b_n_dark elf_f_head_08","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"balur salvu","NPC","Balur Salvu","","3","Dark Elf","No","Farmer","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_03","b_n_dark elf_m_head_10","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"balver sarethan","NPC","Balver Sarethan","","7","Dark Elf","No","Pilgrim","Temple","1","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_23","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"balyn omavel","NPC","Balyn Omavel","balynScript","10","Dark Elf","No","Assassin","Morag Tong","3","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_22","b_n_dark elf_m_head_04","No","Yes","0","0","0","0","0","0","0","0","0","0","0","0"
"balyn omavel-DEAD","NPC","Balyn Omavel","balynScript","10","Dark Elf","No","Assassin","Morag Tong","3","No","No","","50","Default (Red)","b_n_dark elf_m_hair_22","b_n_dark elf_m_head_04","Yes","Yes","59","72","77","45","35","63","37","40","0","0","213","126"
"balynu teran","NPC","Balynu Teran","","5","Dark Elf","Yes","Healer","Redoran","1","No","No","","50","Default (Red)","b_n_dark elf_f_hair_13","b_n_dark elf_f_head_01","No","No","46","36","50","43","48","46","76","40","0","65","201","23"
"Banalz","NPC","Banalz","slaveScript","1","Argonian","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_f_hair05","b_n_argonian_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"banden indarys","NPC","Banden Indarys","bandenIndarysScript","19","Dark Elf","No","Warrior","Redoran","6","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_01","b_n_dark elf_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bandit_scarred_de_hrggh","NPC","Glaum","","5","Wood Elf","No","Hunter","","0","Yes","No","","50","Default (Red)","b_n_wood elf_m_hair_01","b_n_wood elf_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bandit_scruffy_de_hrggh","NPC","Gaban","","3","Breton","No","Rogue","","0","Yes","No","","50","Default (Red)","b_n_breton_m_hair_02","b_n_breton_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"banor seran","NPC","Banor Seran","Pub_Balmora_Council","8","Dark Elf","No","Publican","Camonna Tong","1","No","No","","50","Default (Red)","b_n_dark elf_m_hair_15","b_n_dark elf_m_head_08","No","Yes","49","59","58","48","55","61","36","40","350","76","192","122"
"baradras","NPC","Baradras","","7","Wood Elf","No","Scout","Fighters Guild","1","No","No","","50","Default (Red)","b_n_wood elf_m_hair_03","b_n_wood elf_m_head_04","No","Yes","41","68","71","48","44","47","37","40","0","80","194","94"
"baren alen","NPC","Baren Alen","barenAlenScript","9","Dark Elf","No","Noble","Hlaalu","2","No","No","","50","Default (Red)","b_n_dark elf_m_hair_26","b_n_dark elf_m_head_01","No","Yes","50","54","69","45","58","53","39","50","0","83","188","106"
"barenziah","NPC","Barenziah","","70","Dark Elf","Yes","Queen Mother","","0","No","No","","50","Default (Red)","B_N_Dark Elf_F_BarenziahH","B_N_Dark Elf_F_Barenziah","No","No","100","100","100","71","100","100","100","40","0","630","371","300"
"barirrid","NPC","Barirrid","","6","Nord","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair05","b_n_nord_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"barnand erelie","NPC","Barnand Erelie","","9","Breton","No","Healer","Mages Guild","1","No","No","","50","Default (Red)","b_n_breton_m_hair_02","b_n_breton_m_head_03","No","Yes","50","39","45","35","64","59","86","40","0","70","210","118"
"Baro Egnatius","NPC","Baro Egnatius","ColonyBaro","50","Imperial","No","Shipmaster","","0","Yes","No","","50","Default (Red)","B_N_Imperial_M_Hair_06","b_n_imperial_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"baronk gro-uzuk","NPC","Baronk gro-Uzuk","","18","Orc","No","Warrior","","0","Yes","No","","50","Default (Red)","b_n_orc_m_hair_05","b_n_orc_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"barri","NPC","Barri","","12","Nord","Yes","Barbarian","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_05","b_n_nord_f_head_04","No","No","95","54","71","55","37","39","59","40","0","130","263","78"
"barusi venim","NPC","Barusi Venim","","11","Dark Elf","No","Enchanter Service","Telvanni","2","No","No","","50","Default (Red)","b_n_dark elf_m_hair_17","b_n_dark elf_m_head_04","No","Yes","58","48","66","46","39","77","65","40","1200","82","217","154"
"bashag gro-snagdu","NPC","Bashag gro-Snagdu","","3","Orc","No","Commoner","Fighters Guild","0","Yes","No","","50","Default (Red)","b_n_orc_m_hair_05","b_n_orc_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bashuk gra-bat","NPC","Bashuk gra-Bat","nolore","7","Orc","Yes","Commoner","","0","Yes","No","","50","Default (Red)","b_n_orc_f_hair03","b_n_orc_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"basks_in_the_sun","NPC","Basks-In-The-Sun","nolore","20","Argonian","No","Shipmaster","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_m_hair02","b_n_argonian_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Baslod","NPC","Baslod","","20","Nord","No","Assassin","","0","No","No","","50","Default (Red)","B_N_Nord_M_Hair07","b_n_nord_m_head_05","No","No","90","96","120","61","41","67","55","40","0","151","302","134"
"Bato Veranius","NPC","Bato Veranius","","4","Nord","No","Smuggler","","0","No","No","","50","Default (Red)","b_n_nord_m_hair00","b_n_nord_m_head_01","No","No","60","46","49","34","69","33","43","40","0","60","183","16"
"bauril","NPC","Bauril","","8","Wood Elf","Yes","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_wood elf_f_hair_02","b_n_wood elf_f_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"baurin","NPC","Baurin","","7","Wood Elf","Yes","Scout","Fighters Guild","1","No","No","","50","Default (Red)","b_n_wood elf_f_hair_02","b_n_wood elf_f_head_01","No","Yes","41","68","71","48","44","47","37","40","0","80","194","94"
"bazgulub gro-ulfish","NPC","Bazgulub gro-Ulfish","","15","Orc","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_orc_m_hair_04","b_n_orc_m_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Bedal Alen","NPC","Bedal Alen","WritAlen","12","Dark Elf","No","Merchant","Hlaalu","4","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_12","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"beden giladren","NPC","Beden Giladren","nolore","3","Dark Elf","No","Pilgrim","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_22","b_n_dark elf_m_head_05","No","No","100","68","40","72","85","50","85","40","0","266","325","25"
"bedenea nethan","NPC","Bedenea Nethan","","11","Dark Elf","Yes","Agent","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_23","b_n_dark elf_f_head_03","No","Yes","58","77","69","36","70","51","38","40","0","87","209","102"
"Bedraflod","NPC","Bedraflod","","9","Nord","No","Savant","Imperial Legion","2","Yes","No","","50","Default (Red)","b_n_nord_m_hair05","b_n_nord_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bedrir","NPC","Bedrir","","13","Nord","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair05","b_n_nord_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Bedynea Gimalvel","NPC","Bedynea Gimalvel","","3","Dark Elf","Yes","Warrior","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_07","b_n_dark elf_f_head_08","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"beekatan","NPC","Beekatan","slaveScript","1","Argonian","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_f_hair01","b_n_argonian_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Belas Othren","NPC","Belas Othren","","11","Dark Elf","No","Agent","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_26","b_n_dark elf_m_head_07","No","Yes","58","77","69","46","60","51","38","40","0","92","219","102"
"beldrose dralor","NPC","Beldrose Dralor","","10","Dark Elf","No","Noble","Redoran","6","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_25","b_n_dark elf_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"belene yvienne","NPC","Belene Yvienne","","5","Breton","Yes","Spellsword","Telvanni","0","Yes","No","","50","Default (Red)","b_n_breton_f_hair_02","b_n_breton_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"beleru hledri","NPC","Beleru Hledri","","9","Dark Elf","Yes","Thief","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_01","b_n_dark elf_f_head_07","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"belos falos","NPC","Belos Falos","","9","Dark Elf","No","Thief Service","Camonna Tong","1","No","No","","50","Default (Red)","b_n_dark elf_m_hair_26","b_n_dark elf_m_head_03","No","Yes","54","72","78","45","40","53","36","40","100","81","207","106"
"Bels Uvenim","NPC","Bels Uvenim","","35","Dark Elf","No","Noble","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_10","b_n_dark elf_m_head_09","No","No","100","98","100","90","100","94","67","50","0","275","325","188"
"belvis sedri","NPC","Belvis Sedri","","10","Dark Elf","No","Miner","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_12","b_n_dark elf_m_head_10","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Belwen","NPC","Belwen","","40","Wood Elf","Yes","Clothier","","0","Yes","No","","50","Default (Red)","b_n_wood elf_f_hair_02","B_N_Wood Elf_F_Head_06","No","No","0","0","0","0","0","0","0","0","5000","0","0","0"
"Benar Neleth","NPC","Benar Neleth","","14","Dark Elf","No","Battlemage","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_22","b_n_dark elf_m_head_09","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"benudni ilurnubishpal","NPC","Benudni Ilurnubishpal","","5","Dark Elf","Yes","Mabrigash","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_22","b_n_dark elf_f_head_03","No","No","49","40","47","53","34","44","78","40","0","77","220","88"
"benunius agrudilius","NPC","Benunius Agrudilius","Pub_Balmora_Lucky","5","Imperial","No","Publican","","0","No","No","","50","Default (Red)","b_n_imperial_m_hair_03","b_n_imperial_m_head_04","No","Yes","45","41","44","45","69","56","33","40","300","61","164","112"
"berapli ashumallit","NPC","Berapli Ashumallit","","13","Dark Elf","Yes","Mabrigash","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_10","b_n_dark elf_f_head_08","No","No","63","55","58","58","42","50","100","40","0","135","276","100"
"beraren sadri","NPC","Beraren Sadri","","5","Dark Elf","No","Monk","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_25","b_n_dark elf_m_head_12","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bereditte jastal","NPC","Bereditte Jastal","JastalThirsk","10","Breton","No","Bookseller","","0","No","No","","50","Default (Red)","b_n_breton_m_hair_02","B_N_Breton_M_Head_07","Yes","No","49","47","43","53","72","60","64","40","250","96","213","120"
"bereditte jastal_out","NPC","Bereditte Jastal","JastalOutside","10","Breton","No","Bookseller","","0","No","No","","50","Default (Red)","b_n_breton_m_hair_02","B_N_Breton_M_Head_07","No","No","49","47","43","53","72","60","64","40","250","96","213","120"
"berel sala","NPC","Berel Sala","nolore","26","Dark Elf","No","Ordinator","Temple","6","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_04","b_n_dark elf_m_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"berela andrano","NPC","Berela Andrano","","14","Dark Elf","No","Savant Service","Redoran","3","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_17","b_n_dark elf_m_head_02","No","No","0","0","0","0","0","0","0","0","150","0","0","0"
"berengeval","NPC","Berengeval","","16","Wood Elf","No","Archer","Telvanni","1","Yes","No","","50","Default (Red)","b_n_wood elf_m_hair_05","b_n_wood elf_m_head_01","Yes","Yes","0","0","0","0","0","0","0","0","0","0","0","0"
"berne vampire 1","NPC","Vampire","Vampire_Berne","5","Dark Elf","No","Thief","","0","Yes","Yes","","50","Default (Red)","b_n_dark elf_m_hair_15","B_V_Dark Elf_M_Head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"berne vampire 2","NPC","Vampire","Vampire_Berne","5","Redguard","Yes","Acrobat","","0","Yes","Yes","","50","Default (Red)","b_n_redguard_f_hair_03","B_V_Redguard_F_Head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"berne vampire 3","NPC","Vampire","Vampire_Berne","5","Dark Elf","No","Monk","","0","Yes","Yes","","50","Default (Red)","b_n_dark elf_m_hair_10","B_V_Dark Elf_M_Head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"berne vampire 4","NPC","Vampire","Vampire_Berne","5","Khajiit","Yes","Assassin","","0","Yes","Yes","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair04","B_V_Khajiit_F_Head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"berne vampire 5","NPC","Vampire","Vampire_Berne","5","Imperial","No","Nightblade","","0","Yes","Yes","","50","Default (Red)","b_n_imperial_m_hair_04","B_V_Imperial_M_Head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Bertis Uvani","NPC","Bertis Uvani","","14","Dark Elf","No","Assassin","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_03","b_n_dark elf_m_head_07","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bervaso thenim","NPC","Bervaso Thenim","","10","Dark Elf","No","Apothecary Service","Temple","1","No","No","","50","Default (Red)","b_n_dark elf_m_hair_13","b_n_dark elf_m_head_02","No","Yes","56","63","57","45","45","74","47","40","300","77","211","148"
"bervyn lleryn","NPC","Bervyn Lleryn","","5","Dark Elf","No","Trader Service","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_02","b_n_dark elf_m_head_10","No","Yes","56","48","56","42","49","46","36","40","250","69","182","92"
"berwen","NPC","Berwen","","8","Wood Elf","Yes","Trader Service","","0","No","No","","50","Default (Red)","b_n_wood elf_f_hair_01","b_n_wood elf_f_head_01","No","Yes","49","65","60","34","55","51","41","40","600","64","189","102"
"bethes sarothril","NPC","Bethes Sarothril","fightbethes","18","Dark Elf","No","Witchhunter","Temple","6","No","No","","50","Default (Red)","b_n_dark elf_m_hair_04","b_n_dark elf_m_head_03","No","No","62","100","69","50","40","100","49","40","0","141","261","200"
"bevadar bels","NPC","Bevadar Bels","venimGuardScript","19","Dark Elf","No","Crusader","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_01","b_n_dark elf_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bevene releth","NPC","Bevene Releth","","7","Dark Elf","Yes","Clothier","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_20","b_n_dark elf_f_head_08","No","Yes","53","63","58","34","53","60","35","40","200","67","185","120"
"beyte fyr","NPC","Beyte Fyr","nolore","18","Dark Elf","Yes","Spellsword","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_15","b_n_dark elf_f_head_08","No","Yes","81","67","64","55","50","64","94","40","0","161","297","128"
"bhusari","NPC","Bhusari","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair05","b_n_khajiit_f_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bidsi gilvayn","NPC","Bidsi Gilvayn","","9","Dark Elf","Yes","Archer","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_15","b_n_dark elf_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"big head","NPC","Big Head","nolore","6","Argonian","No","Pauper","","0","No","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_m_hair03","b_n_argonian_m_head_02","No","Yes","60","60","65","33","41","44","44","50","0","56","185","88"
"big helende","NPC","Big Helende","nolore","17","High Elf","Yes","Thief Service","Thieves Guild","8","Yes","No","","50","Default (Red)","b_n_high elf_f_hair_03","b_n_high elf_f_head_02","No","No","0","0","0","0","0","0","0","0","100","0","0","0"
"bildren areleth","NPC","Bildren Areleth","","9","Dark Elf","No","Apothecary Service","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_10","b_n_dark elf_m_head_01","No","Yes","54","61","56","45","44","72","45","40","325","73","205","144"
"bilen velothril","NPC","Bilen Velothril","","4","Dark Elf","No","Rogue","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_05","b_n_dark elf_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bilos andrethi","NPC","Bilos Andrethi","","8","Dark Elf","No","Rogue","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_22","b_n_dark elf_m_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"birama andaram","NPC","Birama Andaram","","13","Dark Elf","Yes","Archer","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_04","b_n_dark elf_f_head_07","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Birard Adrognese","NPC","Birard Adrognese","","13","Breton","No","Warrior","Imperial Legion","4","Yes","No","","50","Default (Red)","b_n_breton_m_hair_01","b_n_breton_m_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"birer indaram","NPC","Birer Indaram","nolore","20","Dark Elf","No","Buoyant Armiger","Temple","3","No","No","","50","Default (Red)","b_n_dark elf_m_hair_02","b_n_dark elf_m_head_05","No","No","65","100","86","51","47","55","76","40","0","154","292","110"
"bivale teneran","NPC","Bivale Teneran","nolore","12","Dark Elf","Yes","Clothier","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_02","b_n_dark elf_f_head_09","No","No","0","0","0","0","0","0","0","0","300","0","0","0"
"bjadmund","NPC","Bjadmund","nolore","17","Nord","No","Battlemage","","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair00","b_n_nord_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Black Dart Adren","NPC","Black Dart Adren","drownOnExit","40","Dark Elf","No","Commoner","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_03","b_n_dark elf_m_head_04","No","No","91","95","100","73","100","83","61","40","0","250","320","166"
"Black Dart Draren","NPC","Black Dart Draren","","40","Dark Elf","No","Commoner","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_25","b_n_dark elf_m_head_04","No","No","91","95","100","73","100","83","61","40","0","277","320","166"
"Black Dart Gilur","NPC","Black Dart Gilur","drownOnExit","40","Dark Elf","No","Commoner","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_23","b_n_dark elf_m_head_07","Yes","No","91","95","100","73","100","83","61","40","0","240","320","166"
"Black Dart Malar","NPC","Black Dart Malar","drownOnExit","40","Dark Elf","No","Commoner","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_26","b_n_dark elf_m_head_02","No","No","91","95","100","73","100","83","61","40","0","250","320","166"
"Black Dart Urvyn","NPC","Black Dart Urvyn","drownOnExit","40","Dark Elf","No","Commoner","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_01","b_n_dark elf_m_head_05","No","No","91","95","100","73","100","83","61","40","0","277","320","166"
"Blatta Hateria","NPC","Blatta Hateria","","13","Imperial","Yes","Pauper","","0","Yes","No","","50","Default (Red)","b_n_imperial_f_hair_05","b_n_imperial_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"bm_bathmar","NPC","Bathmar Bold-Lute","thirskdudes","10","Nord","No","Bard","","0","No","No","","100","Default (Red)","B_N_Nord_M_Hair07","B_N_Nord_M_head_09","No","No","73","44","47","58","80","60","47","40","0","101","222","120"
"bm_bergljot","NPC","Bergljot","thirskdudes","20","Nord","Yes","Barbarian","","0","No","No","","100","Default (Red)","b_n_nord_f_hair_03","B_N_Nord_F_head_12","Yes","No","100","72","86","67","80","45","65","40","0","178","304","90"
"BM_berserker_f1","NPC","Berserker","nolore","20","Nord","Yes","Acrobat","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_02","b_n_nord_f_head_05","No","No","100","91","91","100","47","45","61","40","0","175","313","90"
"BM_berserker_f1_lvl5","NPC","Berserker","nolore","5","Nord","Yes","Acrobat","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_03","b_n_nord_f_head_04","No","No","57","51","51","54","34","33","54","40","0","50","216","66"
"BM_berserker_f2","NPC","Berserker","nolore","40","Nord","Yes","Acrobat","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_04","B_N_Nord_F_Head_06","No","No","100","91","91","100","47","45","61","40","0","300","313","90"
"BM_berserker_f3","NPC","Berserker","nolore","60","Nord","Yes","Acrobat","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_05","B_N_Nord_F_Head_08","No","No","100","91","91","100","47","45","61","40","0","175","313","90"
"BM_berserker_f4","NPC","Berserker Denmother","nolore","80","Nord","Yes","Acrobat","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_05","B_N_Nord_F_Head_08","No","No","100","100","100","100","100","93","100","40","0","495","400","186"
"BM_berserker_m1","NPC","Berserker","nolore","20","Nord","No","Acrobat","","0","No","No","","50","Default (Red)","B_N_Nord_M_hair08","b_n_nord_m_head_03","No","No","100","91","91","100","47","45","61","40","0","175","313","90"
"BM_berserker_m1_lvl5","NPC","Berserker","nolore","5","Nord","No","Acrobat","","0","No","No","","50","Default (Red)","B_N_Nord_M_hair08","b_n_nord_m_head_03","No","No","57","51","51","64","34","33","44","40","0","50","216","66"
"BM_berserker_m2","NPC","Berserker","nolore","40","Nord","No","Acrobat","","0","No","No","","50","Default (Red)","B_N_Nord_M_hair08","b_n_nord_m_head_04","No","No","100","91","91","100","47","45","61","40","0","300","313","90"
"BM_berserker_m3","NPC","Berserker","nolore","60","Nord","No","Acrobat","","0","No","No","","50","Default (Red)","B_N_Nord_M_hair08","B_N_Nord_M_Head_07","No","No","100","91","91","100","47","45","61","40","0","450","313","90"
"bm_frysehag_1","NPC","Fryse Hag","nolore","20","Nord","Yes","Witch","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_04","B_N_Nord_F_head_12","No","No","88","71","100","57","79","76","100","50","0","200","500","2000"
"bm_frysehag_2","NPC","Fryse Hag","nolore","40","Nord","Yes","Witch","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_03","B_N_Nord_F_head_11","No","No","100","85","100","63","96","92","100","50","0","198","348","184"
"bm_frysehag_3","NPC","Fryse Hag","nolore","8","Nord","Yes","Witch","","0","No","No","","50","Default (Red)","b_n_nord_f_hair_02","B_N_Nord_F_head_09","No","No","59","40","57","44","42","41","73","50","0","72","216","82"
"bm_ice_witch_nord","NPC","Ice Witch","","30","Nord","Yes","Witch","","0","No","Yes","","50","Default (Red)","b_n_nord_f_hair_01","B_N_Nord_F_Head_07","No","No","88","71","100","57","79","76","100","50","0","159","316","2000"
"BM_Imperial Guard","NPC","Guard","fortloreboozeScript","30","Imperial","No","Guard","Imperial Legion","2","No","Yes","","50","Default (Red)","b_n_imperial_m_hair_04","b_n_imperial_m_head_02","No","No","100","90","85","98","61","55","45","40","0","285","309","110"
"BM_Imperial Guard_Carn1","NPC","Guard","fortloreboozeCarn1Script","30","Imperial","No","Guard","Imperial Legion","2","No","Yes","","50","Default (Red)","b_n_imperial_m_hair_04","b_n_imperial_m_head_02","No","No","100","90","85","98","61","55","45","40","0","285","309","110"
"BM_Imperial Guard_Carn2","NPC","Guard","fortloreboozeCarn2Script","30","Imperial","No","Guard","Imperial Legion","2","No","Yes","","50","Default (Red)","b_n_imperial_m_hair_04","b_n_imperial_m_head_02","No","No","100","90","85","98","61","55","45","40","0","285","309","110"
"BM_Imperial Guard_Carn3","NPC","Guard","fortloreboozeCarn3Script","30","Imperial","No","Guard","Imperial Legion","2","No","Yes","","50","Default (Red)","b_n_imperial_m_hair_04","b_n_imperial_m_head_02","No","No","100","90","85","98","61","55","45","40","0","285","309","110"
"bm_reaver_10","NPC","Reaver","nolore","10","Nord","No","Warrior","","0","No","No","","50","Default (Red)","b_n_nord_m_hair03","B_N_Nord_M_Head_12","No","No","84","47","54","82","35","37","47","40","0","137","260","74"
